work,word,count,total,fpm,source_id,title,author,pub_date
1480,ballad,48,105205,456.25207927379876,mdp.39015041158448,"The ballade,","Cohen, Helen Louise, 1882-",1915
1790,ballad,5,11230,445.2359750667854,mdp.39015019975757,The poet's craft;,"Felkin, Frederick William, 1869-",1919
646,ballad,98,224774,435.9934867911769,hvd.32044086720679,Linguistics and Versification,"Hammond, Eleanor C",1908
1169,ballad,54,125755,429.40638543199077,mdp.39015066578900,English epic and heroic poetry,"Dixon, W. Macneile (William Macneile), 1866-1945",1912
2788,ballad,29,67857,427.36932077751743,nyp.33433082518758,"Poetry and the Renascence of wonder,","Watts-Dunton, Theodore, 1832-1914",1916
4644,ballad,46,109075,421.72816869126746,uva.x000961997,The poems of Oscar Wilde.,"Wilde, Oscar, 1854-1900",1916
785,ballad,24,57816,415.11000415110004,hvd.32044014291553,"The Chaucer canon,","Skeat, Walter W. (Walter William), 1835-1912",1900
1668,ballad,6,14629,410.1442340556429,mdp.39015030869427,"Poetry, with reference to Aristotle's Poetics;","Newman, John Henry, 1801-1890",1891
3302,ballad,34,83289,408.21717153525674,nyp.33433074838784,Popular songs of Ireland,"Croker, Thomas Crofton, 1798-1854",1839
1836,ballad,66,163362,404.010724648327,mdp.39015016456363,"The home book of verse, American and English, 1580-1912,","Stevenson, Burton Egbert, 1872-1962. comp",1912
2061,ballad,23,57223,401.9362843611834,mdp.39015003346247,English Prose Numbers,"Elton, Oliver",1922
82,ballad,14,35186,397.8855226510544,coo1.ark:/13960/t11n8nn3s,"Repetition and parallelism in Tennyson,","Lauvrière, Émile, 1866-",1910
328,ballad,62,155940,397.58881621136334,hvd.hnjci4,Poets of the younger generation,"Archer, William, 1856-1924",1902
4684,ballad,64,161042,397.41185529240823,uva.x000196870,Essays in criticism,"Arnold, Matthew, 1822-1888",1869
1905,ballad,4,10078,396.9041476483429,mdp.39015010849225,"The art of writing verse,","Jenkinson, Editha",1920
1867,ballad,64,161464,396.3731853540108,mdp.39015013245199,Essays literary & critical,"Arnold, Matthew, 1822-1888",1866
3897,ballad,61,154992,393.5687003200165,uc1.b3515127,"A history of English prosody from the twelfth century to the present day,","Saintsbury, George, 1845-1933",1906
5040,ballad,61,155467,392.36622562987645,uc1.$b792863,"A history of English prosody from the twelfth century to the present day,","Saintsbury, George, 1845-1933",1923
